SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,67678,30,67049,599,0,1,-3,4,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,87157,153,86157,847,0,24,18,6,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,124336,103,123597,636,0,11,2,9,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,75587,97,74819,671,0,8,-11,19,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,48785,183,47923,679,0,9,-29,38,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,60839,23,60328,488,0,0,-7,7,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,62187,56,61551,580,0,1,1,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,62369,70,61793,506,0,0,-2,2,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,46150,10,45793,347,0,1,-1,2,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,59872,61,59247,564,0,10,-6,16,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,41145,12,40895,238,0,1,0,1,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,94259,48,93669,542,0,0,-8,8,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,55296,71,54762,463,0,4,1,3,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,204,0,204,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,1282,0,1278,4,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,304,0,304,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,1144,1,1139,4,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,30,0,30,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,37,0,37,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,117,0,117,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,286,0,286,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,573,1,572,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,250,0,250,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,475,1,474,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,287,0,287,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,381,0,380,1,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,430,0,426,4,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,132,0,132,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,6779,0,6750,29,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,104,0,104,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,133,0,132,1,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,492,0,490,2,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,587,0,585,2,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,23,0,23,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,361,0,361,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,441,0,439,2,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,949,1,944,4,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1030,1,1026,3,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,13,0,13,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,687,233,447,7,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,1121,84,1024,13,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,468,81,379,8,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,1303,462,834,7,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,6242,4701,1498,43,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,116,0,105,11,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,280,53,219,8,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,1967,219,1730,18,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,765,317,440,8,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,1723,496,1215,12,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,9551,7040,2409,102,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,241,40,199,2,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,665,38,568,10,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,3809,2107,1656,46,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,1634,511,1116,7,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,1646,472,1160,14,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,8774,6968,1752,54,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,4593,2484,2074,35,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,50495,34973,15370,152,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,632,69,552,11,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,1206,225,955,26,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,410,45,353,12,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,3006,1847,1135,24,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,165,79,80,6,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,638,72,557,9,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,4531,1999,2506,26,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,948,103,828,17,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,529,21,473,35,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,2558,812,1727,19,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,53,5,47,1,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,3377,1536,1798,43,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,758,84,666,8,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,39,1,37,1,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,7252,2,7228,22,0,3,0,3,0,,
76,BR,Bihar,BR_Arwal,Arwal,2424,7,2405,12,0,0,0,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,5520,31,5473,16,0,3,1,2,0,,
78,BR,Bihar,BR_Banka,Banka,3592,14,3558,20,0,6,5,1,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,8103,22,8045,36,0,3,1,2,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,9546,18,9448,80,0,3,3,0,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,5107,4,5056,47,0,2,0,2,0,,
82,BR,Bihar,BR_Buxar,Buxar,4025,2,4003,20,0,2,0,2,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,4256,6,4211,39,0,1,1,0,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,8444,9,8382,53,0,1,1,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,8069,51,7958,60,0,11,3,8,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,5819,6,5798,15,0,0,-2,2,0,,
86,BR,Bihar,BR_Jamui,Jamui,3164,7,3147,10,0,4,4,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,4582,4,4553,25,0,3,1,2,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,2249,6,2233,10,0,1,0,1,0,,
89,BR,Bihar,BR_Katihar,Katihar,7225,2,7211,12,0,0,0,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,3133,1,3118,14,0,0,0,0,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,4316,2,4301,13,0,1,1,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,3841,8,3824,9,0,2,-2,4,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,4875,10,4848,17,0,2,1,1,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,7724,4,7686,34,0,1,0,1,0,,
95,BR,Bihar,BR_Munger,Munger,4257,4,4198,55,0,1,1,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,11914,16,11847,51,0,2,1,1,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,8326,11,8257,58,0,0,-2,2,0,,
98,BR,Bihar,BR_Nawada,Nawada,4241,7,4210,24,0,0,0,0,0,,
100,BR,Bihar,BR_Patna,Patna,52501,375,51698,428,0,18,-37,54,1,,
102,BR,Bihar,BR_Purnia,Purnia,9394,5,9364,25,0,1,-1,2,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,6840,7,6788,45,0,0,-2,2,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,6853,13,6828,12,0,2,2,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,5324,11,5278,35,0,7,0,7,0,,
106,BR,Bihar,BR_Saran,Saran,7419,33,7322,64,0,2,-2,4,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,2999,1,2985,13,0,0,0,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,1533,13,1519,1,0,1,1,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,4459,3,4439,17,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,4807,16,4756,35,0,2,-4,6,0,,
111,BR,Bihar,BR_Supaul,Supaul,5631,0,5612,19,0,1,-2,3,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,5630,17,5563,49,1,3,-2,5,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,6053,6,6024,23,0,3,0,3,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,21107,169,20598,340,0,0,0,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,475,18,395,62,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,9824,239,9485,100,0,1,-3,4,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,9995,240,9613,142,0,23,22,1,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,3768,73,3680,15,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,5052,158,4836,58,0,4,4,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,9045,36,8923,86,0,1,1,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,4115,5,4082,28,0,1,1,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,21411,131,21063,217,0,10,-30,40,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,6090,16,6057,17,0,1,-1,2,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,8316,188,8000,128,0,8,6,2,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,26951,787,25539,625,0,29,12,17,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,4615,23,4536,56,0,1,-5,6,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,20584,22,20325,237,0,2,-2,4,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,3969,13,3923,33,0,0,-6,6,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,5952,23,5856,73,0,0,-6,6,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,5280,79,5167,34,0,2,2,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,16973,139,16710,124,0,4,4,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,5360,57,5266,37,0,0,-5,5,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,9389,46,9197,146,0,12,7,4,1,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,4114,38,4048,28,0,3,3,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,1965,3,1960,2,0,1,1,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,23960,288,23355,317,0,25,2,23,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,54276,1236,52253,787,0,59,-9,68,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,19755,128,19447,180,0,5,-3,7,1,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,4012,8,3994,10,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,6437,91,6303,43,0,5,-4,9,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,8162,51,8020,91,0,7,-1,8,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,6654,29,6565,60,0,2,-8,10,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,1497,7,1480,10,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,1656,0,1650,1,5,0,0,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,1412,0,1387,1,24,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,312,3,309,0,0,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,200,9,190,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
155,GA,Goa,GA_North Goa,North Goa,2668,1639,964,65,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
156,GA,Goa,GA_South Goa,South Goa,3511,1978,1407,126,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,GJ,Gujarat,GJ_Other State,Other State,162,0,159,3,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,61521,775,58445,2301,0,44,-80,123,1,,
158,GJ,Gujarat,GJ_Amreli,Amreli,3912,33,3846,33,0,0,-4,4,0,,
159,GJ,Gujarat,GJ_Anand,Anand,2545,29,2499,17,0,7,7,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,1205,2,1177,26,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,4702,7,4656,39,0,1,1,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,4140,11,4111,18,0,0,-2,2,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,6069,41,5960,68,0,3,-1,4,0,,
164,GJ,Gujarat,GJ_Botad,Botad,1047,1,1032,14,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,918,6,909,3,0,1,-1,2,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,3309,14,3288,7,0,2,2,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,183,0,182,1,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,1113,24,1084,5,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,8628,26,8495,107,0,8,2,6,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,2519,37,2458,24,0,2,2,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,10528,66,10427,35,0,3,2,1,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,5353,37,5283,33,0,4,-9,13,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,3216,10,3189,17,0,1,-4,5,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,4464,23,4408,33,0,1,1,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,2026,22,1994,10,0,1,1,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,6988,19,6931,38,0,2,-4,6,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,3288,36,3233,19,0,1,-6,7,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,2105,36,2068,1,0,4,2,2,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,1637,8,1621,8,0,2,2,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,4280,24,4234,22,0,1,-3,4,0,,
180,GJ,Gujarat,GJ_Patan,Patan,4237,5,4179,53,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,728,0,724,4,0,0,-3,3,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,22592,229,22163,200,0,34,-10,44,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,3014,28,2973,13,0,3,1,2,0,,
184,GJ,Gujarat,GJ_Surat,Surat,52779,231,51572,976,0,36,-10,46,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,3539,29,3497,13,0,1,0,1,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,1074,1,1066,7,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,28679,223,28216,240,0,70,-5,75,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,1410,7,1394,9,0,2,-1,3,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,2923,7,2891,24,1,0,0,0,0,,
